0, 0, 0.000707
0, 0, 0.000796
0, 0, 0.000821
0, 0, 0.000839
0, 0, 0.000922
0, 0, 0.000879
0, 0, 0.000805
0, 0, 0.000787
0, 0, 0.000904
0, 0, 0.000861
1, 0, 0.000854
1, 0, 0.000795
1, 0, 0.000828
1, 0, 0.000842
1, 0, 0.000923
1, 0, 0.000869
1, 0, 0.000802
1, 0, 0.000812
1, 0, 0.000829
1, 0, 0.000824
2, 0, 0.000762
2, 0, 0.000839
2, 0, 0.000812
2, 0, 0.000856
2, 0, 0.000927
2, 0, 0.000893
2, 0, 0.000861
2, 0, 0.000804
2, 0, 0.000808
2, 0, 0.000946
3, 0, 0.000881
3, 0, 0.000876
3, 0, 0.000775
3, 0, 0.000818
3, 0, 0.001838
3, 0, 0.000883
3, 0, 0.00083
3, 0, 0.000735
3, 0, 0.000781
3, 0, 0.000821
4, 0, 0.000851
4, 0, 0.000872
4, 0, 0.000903
4, 0, 0.001012
4, 0, 0.000823
4, 0, 0.000838
4, 0, 0.000793
4, 0, 0.00088
4, 0, 0.000901
4, 0, 0.000919
5, 0, 0.000877
5, 0, 0.000873
5, 0, 0.000857
5, 0, 0.00086
5, 0, 0.000833
5, 0, 0.000829
5, 0, 0.00081
5, 0, 0.00083
5, 0, 0.000825
5, 0, 0.000835
6, 0, 0.000887
6, 0, 0.000963
6, 0, 0.000891
6, 0, 0.000899
6, 0, 0.000795
6, 0, 0.000862
6, 0, 0.000928
6, 0, 0.000887
6, 0, 0.000882
6, 0, 0.000645
7, 0, 0.0008
7, 0, 0.000845
7, 0, 0.000819
7, 0, 0.000804
7, 0, 0.000824
7, 0, 0.000877
7, 0, 0.000867
7, 0, 0.000647
7, 0, 0.000935
7, 0, 0.001005
8, 0, 0.00072
8, 0, 0.001004
8, 0, 0.00102
8, 0, 0.001295
8, 0, 0.001551
8, 0, 0.001017
8, 0, 0.001217
8, 0, 0.001014
8, 0, 0.000963
