Length, Proportion Bugs Caught, Average Time Per Mutant, Average Paths Per Mutant
215,25,0.202034282684,1
216,25,0.202034282684,1
217,25,0.202034282684,1
218,25,0.202034282684,1
219,25,0.202034282684,1
220,25,0.202034282684,1
221,25,0.202034282684,1
222,25,0.202034282684,1
223,25,0.202034282684,1
224,25,0.202034282684,1
225,25,0.202034282684,1
226,25,0.202034282684,1
227,25,0.202034282684,1
228,25,0.202034282684,1
229,25,0.202034282684,1
230,25,0.202034282684,1
231,25,0.202034282684,1
232,25,0.202034282684,1
233,25,0.202034282684,1
234,25,0.202034282684,1
235,25,0.202034282684,1
236,25,0.202034282684,1
237,25,0.202034282684,1
238,25,0.202034282684,1
239,25,0.202034282684,1
240,25,0.202034282684,1
241,25,0.202034282684,1
242,25,0.202034282684,1
243,25,0.202034282684,1
244,25,0.202034282684,1
245,25,0.202034282684,1
246,25,0.202034282684,1
247,25,0.202034282684,1
248,25,0.202034282684,1
249,25,0.202034282684,1
250,25,0.202034282684,1
251,25,0.202034282684,1
252,25,0.202034282684,1
253,25,0.202034282684,1
254,25,0.202034282684,1
255,25,0.202034282684,1
256,25,0.202034282684,1
257,25,0.202034282684,1
258,25,0.202034282684,1
259,25,0.202034282684,1
260,25,0.202034282684,1
261,25,0.202034282684,1
262,25,0.202034282684,1
263,25,0.202034282684,1
264,25,0.202034282684,1
265,25,0.202034282684,1
266,25,0.202034282684,1
267,25,0.202034282684,1
268,25,0.202034282684,1
269,25,0.202034282684,1
270,25,0.202034282684,1
271,25,0.202034282684,1
272,25,0.202034282684,1
273,25,0.202034282684,1
274,25,0.202034282684,1
275,25,0.202034282684,1
276,25,0.202034282684,1
277,25,0.202034282684,1
278,25,0.202034282684,1
279,25,0.202034282684,1
280,25,0.202034282684,1
281,25,0.202034282684,1
282,25,0.202034282684,1
283,25,0.202034282684,1
284,25,0.202034282684,1
285,25,0.202034282684,1
286,25,0.202034282684,1
287,25,0.202034282684,1
288,25,0.202034282684,1
289,25,0.202034282684,1
290,25,0.202034282684,1
291,25,0.202034282684,1
292,25,0.202034282684,1
293,25,0.202034282684,1
294,25,0.202034282684,1
295,25,0.202034282684,1
296,25,0.202034282684,1
297,25,0.202034282684,1
298,25,0.202034282684,1
299,25,0.202034282684,1
